"title","rating","summary","releasedate"
"La Casa de Papel","8.5","An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.","TV Series (2017– )"
"Jack Reacher: Never Go Back (2016)","6.1","Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.","21 October 2016 (Canada)"
"Yeh Jawaani Hai Deewani (2013)","7.1","Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.","31 May 2013 (India)"
"Panchayat","9.0","Panchayat is a comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.","TV Series (2020– )"
"Gunned Down (2017)","5.1","Armed robber and career criminal Jack Cregan seeks to discover the truth behind his father's murder and his stolen heist money and in doing so puts his life in danger. The devastation that ...
                    See full summary »","17 July 2017 (UK)"
"False Colors (2020)","7.8","A weapons inspector in Iraq discovers a biological agent of mysterious origin, propelling him into a shadowy world where truth is deadly.","2 April 2020 (Canada)"
"Downhill (2020)","4.8","Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.","14 February 2020 (Canada)"
"Underwater (2020)","5.9","A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.","10 January 2020 (Canada)"
"Bad Boys for Life (2020)","6.9","Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.","17 January 2020 (Canada)"
"The Last Five Years (2014)","5.9","A struggling actress and her novelist lover each illustrate the struggle and deconstruction of their love affair.","18 February 2015 (Philippines)"
"Gisaengchung (2019)","8.6","A poor family, the Kims, con their way into becoming the servants of a rich family, the Parks. But their easy life gets complicated when their deception is threatened with exposure.","30 May 2019 (South Korea)"
"Christmas on Holly Lane (2018)","6.2","Three childhood friends, Sarah, Riley and Cat, with fond memories of Christmas at Sarah's house, come together as adults to save Sarah's home in the hopes of having many more beautiful Christmases together.","TV Movie 11 November 2018"